File Name,LCOM,CBO,RFC
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGEdgeMapping.java,6,3,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGElseGap.java,6,1,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGElseMapping.java,9,2,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGMapper.java,5,1,13
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGNodeGap.java,7,5,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGNodeMapping.java,23,12,31
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGRegionSubTreeMapper.java,6,2,12
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGSubTreeMapper.java,6,2,11
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\BoldStyler.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\DualExpressionPreconditionViolation.java,3,1,4
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\DualExpressionWithCommonSuperTypePreconditionViolation.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\ExpressionPreconditionViolation.java,2,1,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\NormalStyler.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\NotAllPossibleExecutionFlowsEndInReturnPreconditionViolation.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\PreconditionViolation.java,6,3,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\PreconditionViolationType.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\ReturnedVariablePreconditionViolation.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\StatementPreconditionViolation.java,3,1,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\Suggestion.java,3,1,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\UncommonSuperclassPreconditionViolation.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\ZeroMatchedStatementsPreconditionViolation.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PreconditionExaminer.java,69,42,230
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\StatementCollector.java,26,1,26
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\SubTreeMatchComparator.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\SwitchBodyDecomposer.java,1,1,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\TopDownCDTMapper.java,2,5,13
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\VariableBindingKeyPair.java,5,2,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\VariableBindingPair.java,7,2,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\MethodCallAnalyzer.java,2,14,51
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDG.java,35,16,76
